,mse,rmse,r2,accuracy,precision,recall,f1_score,roc_auc,model_type
elastic_net,0.24280867217473248,0.4927561995294757,0.026785148526876523,0.5725905841754991,0.5625385089340728,0.47134744450180693,0.5129213483146068,0.5908292827850887,Regression
gradient_boosting,0.24037019332602858,0.4902756299532219,0.03655895029971412,0.5913236381562731,0.6175231676495366,0.3784202374806402,0.469270166453265,0.5959900789978667,Regression
linear_regression,0.24259435387258113,0.4925386826154684,0.02764416955247695,0.570865171308849,0.5599755201958384,0.4723799690242643,0.5124614953794455,0.595510588246754,Regression
random_forest,0.2640500745728484,0.5138580295887654,-0.05835368978070532,0.5484348040423959,0.527047913446677,0.5281362932369644,0.5275915420319752,0.5620603247581847,Regression
decision_tree,,,,0.598225289622874,0.6452223273415326,0.35209086215797625,0.45557782231128924,0.5942972501728991,Classification
logistic_regression,,,,0.5674143455755485,0.5491360691144709,0.5250387196695921,0.5368171021377672,0.5945131305948704,Classification
random_forest,,,,0.5656889327088982,0.547683923705722,0.5188435725348477,0.5328738069989396,0.5699028842501046,Classification
